maxXshear,minXshear,meanXshear,medianXshear,varXshear,totalvarXshear,aucXshear,XmaxXshear,XminXshear,XmeanXshear,XmedianXshear,XvarXshear,XtotalvarXshear,XaucXshear,YmaxXshear,YminXshear,YmeanXshear,YmedianXshear,YvarXshear,YtotalvarXshear,YaucXshear,maxYshear,minYshear,meanYshear,medianYshear,varYshear,totalvarYshear,aucYshear,XmaxYshear,XminYshear,XmeanYshear,XmedianYshear,XvarYshear,XtotalvarYshear,XaucYshear,YmaxYshear,YminYshear,YmeanYshear,YmedianYshear,YvarYshear,YtotalvarYshear,YaucYshear,subcondition,glovecondition,subject,filecount,gesture
4605,4585,4596.4,4597,30.26835443,84,367712,3.504251145,3.500434783,3.502387953,3.502389227,7.24E-07,0.02395307063,280.1910362,3.501960784,3.496305954,3.498923851,3.498802786,2.05E-06,0.0269792308,279.9139081,4605,4585,4596.4,4597,30.26835443,84,367712,3.504251145,3.500434783,3.502387953,3.502389227,7.24E-07,0.02395307063,280.1910362,3.501960784,3.496305954,3.498923851,3.498802786,2.05E-06,0.0269792308,279.9139081,flat,notgloved,LC,1,scratch
4599,4591,4595.775,4596,4.252531646,70,367662,3.503592423,3.499129678,3.501294914,3.501414581,9.92E-07,0.02241586057,280.1035932,3.499237639,3.495323037,3.497604016,3.497499456,9.64E-07,0.02480872601,279.8083213,4599,4591,4595.775,4596,4.252531646,70,367662,3.503592423,3.499129678,3.501294914,3.501414581,9.92E-07,0.02241586057,280.1035932,3.499237639,3.495323037,3.497604016,3.497499456,9.64E-07,0.02480872601,279.8083213,flat,notgloved,LC,1,scratch
4603,4592,4597.9875,4598,5.556803797,65,367839,3.503374701,3.500217297,3.501317408,3.501087429,6.78E-07,0.01664744846,280.1053927,3.499129678,3.495542509,3.496981246,3.496682997,1.03E-06,0.02185201375,279.7584997,4603,4592,4597.9875,4598,5.556803797,65,367839,3.503374701,3.500217297,3.501317408,3.501087429,6.78E-07,0.01664744846,280.1053927,3.499129678,3.495542509,3.496981246,3.496682997,1.03E-06,0.02185201375,279.7584997,flat,notgloved,LC,1,scratch
4605,4587,4597.475,4597.5,19.69556962,82,367798,3.503371764,3.499565217,3.501471015,3.501413658,7.54E-07,0.02436725107,280.1176812,3.49978204,3.49196351,3.495365825,3.495051664,3.40E-06,0.03108741481,279.629266,4605,4587,4597.475,4597.5,19.69556962,82,367798,3.503371764,3.499565217,3.501471015,3.501413658,7.54E-07,0.02436725107,280.1176812,3.49978204,3.49196351,3.495365825,3.495051664,3.40E-06,0.03108741481,279.629266,flat,notgloved,LC,1,scratch
4622,4603,4612.775,4613,35.67025316,68,369022,3.501625135,3.498153378,3.499460631,3.49929549,6.19E-07,0.01951476076,279.9568505,3.503463203,3.498915872,3.501001913,3.501029937,1.03E-06,0.01950865991,280.080153,4622,4603,4612.775,4613,35.67025316,68,369022,3.501625135,3.498153378,3.499460631,3.49929549,6.19E-07,0.01951476076,279.9568505,3.503463203,3.498915872,3.501001913,3.501029937,1.03E-06,0.01950865991,280.080153,flat,notgloved,LC,2,scratch
4615,4604,4609.2375,4609,10.68971519,51,368739,3.500868056,3.49815418,3.499776199,3.5,5.35E-07,0.01486086876,279.9820959,3.504012145,3.499457348,3.500977435,3.500650618,1.00E-06,0.01746347636,280.0781948,4615,4604,4609.2375,4609,10.68971519,51,368739,3.500868056,3.49815418,3.499776199,3.5,5.35E-07,0.01486086876,279.9820959,3.504012145,3.499457348,3.500977435,3.500650618,1.00E-06,0.01746347636,280.0781948,flat,notgloved,LC,2,scratch
4613,4601,4607.175,4607.5,6.196835443,56,368574,3.500868432,3.497068404,3.499261946,3.499566161,1.15E-06,0.02301205675,279.9409557,3.506293403,3.50021692,3.502604788,3.502060291,3.63E-06,0.02256426773,280.208383,4613,4601,4607.175,4607.5,6.196835443,56,368574,3.500868432,3.497068404,3.499261946,3.499566161,1.15E-06,0.02301205675,279.9409557,3.506293403,3.50021692,3.502604788,3.502060291,3.63E-06,0.02256426773,280.208383,flat,notgloved,LC,2,scratch
4615,4605,4610.8625,4611,6.727689873,80,368869,3.500542182,3.496310764,3.498721704,3.498916342,1.05E-06,0.02407635179,279.8977363,3.50595883,3.501628664,3.503560547,3.503469211,1.05E-06,0.02123670272,280.2848438,4615,4605,4610.8625,4611,6.727689873,80,368869,3.500542182,3.496310764,3.498721704,3.498916342,1.05E-06,0.02407635179,279.8977363,3.50595883,3.501628664,3.503560547,3.503469211,1.05E-06,0.02123670272,280.2848438,flat,notgloved,LC,2,scratch
4615,4586,4601.125,4601,53.75632911,130,368090,3.503813467,3.49837416,3.501564221,3.501575249,2.33E-06,0.02696814598,280.1251377,3.504349717,3.499347258,3.501279597,3.500979966,1.39E-06,0.02108231405,280.1023678,4615,4586,4601.125,4601,53.75632911,130,368090,3.503813467,3.49837416,3.501564221,3.501575249,2.33E-06,0.02696814598,280.1251377,3.504349717,3.499347258,3.501279597,3.500979966,1.39E-06,0.02108231405,280.1023678,flat,notgloved,LC,1,stroke
4610,4572,4589.125,4589.5,87.73101266,171,367130,3.51027547,3.499674409,3.505561063,3.505827283,5.93E-06,0.04019092379,280.444885,3.50328084,3.498584186,3.500878632,3.5006526,1.48E-06,0.0260714043,280.0702906,4610,4572,4589.125,4589.5,87.73101266,171,367130,3.51027547,3.499674409,3.505561063,3.505827283,5.93E-06,0.04019092379,280.444885,3.50328084,3.498584186,3.500878632,3.5006526,1.48E-06,0.0260714043,280.0702906,flat,notgloved,LC,1,stroke
4621,4568,4589.5125,4587.5,203.1643987,215,367161,3.509851138,3.502813853,3.506741628,3.506876228,2.90E-06,0.03105181982,280.5393302,3.507224168,3.493290043,3.501356861,3.501799132,1.18E-05,0.05005230821,280.1085489,4621,4568,4589.5125,4587.5,203.1643987,215,367161,3.509851138,3.502813853,3.506741628,3.506876228,2.90E-06,0.03105181982,280.5393302,3.507224168,3.493290043,3.501356861,3.501799132,1.18E-05,0.05005230821,280.1085489,flat,notgloved,LC,1,stroke
4596,4545,4574.175,4574.5,199.0829114,229,365934,3.518371837,3.504139434,3.509687407,3.509838193,1.37E-05,0.05869284338,280.7749926,3.505701754,3.499891091,3.502567404,3.502398082,2.80E-06,0.02310129518,280.2053924,4596,4545,4574.175,4574.5,199.0829114,229,365934,3.518371837,3.504139434,3.509687407,3.509838193,1.37E-05,0.05869284338,280.7749926,3.505701754,3.499891091,3.502567404,3.502398082,2.80E-06,0.02310129518,280.2053924,flat,notgloved,LC,1,stroke
