max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,subject,filecount,gesture
1154,56,391.1125,217.5,116592.8606,36443,31289,5.232142857,1.9375,3.51432431,3.518206136,0.4313767107,55.38264263,281.1459448,5.652439024,1.344467641,3.524621821,3.480816407,0.8028728985,84.01799049,281.9697457,P7,5,no
1144,53,377.3625,205.5,111042.791,34183,30189,4.957446809,2.205980066,3.417272455,3.362093496,0.3648279582,46.58716958,273.3817964,5.63060686,1.333887043,3.515192097,3.538972471,0.8243643505,80.14055448,281.2153677,P7,5,no
1194,101,445.5375,307,106011.7707,30893,35643,5.405063291,2.151515152,3.45994721,3.389324961,0.3142649846,45.91060705,276.7957768,5.244746601,1.015189873,3.127624198,3.029818514,0.6215588997,64.82013871,250.2099359,P7,6,no
6031,96,533.775,312,543271.7462,38087,42702,4.49893617,2.191950464,3.384254179,3.370194715,0.2756005085,44.91273154,270.7403343,5.41656051,1.145775302,3.168916342,3.060302883,0.7240414886,76.63433753,253.5133074,P7,6,no
1219,94,420.575,265,104738.45,30291,33646,5.163972286,1.752212389,3.492574424,3.53713377,0.4012413066,48.32040477,279.4059539,5.37403599,1.446267432,3.023034711,2.909156766,0.6993920297,75.27699233,241.8427769,P7,6,no
1235,98,435.525,281,96890.05,30775,34842,4.790619765,2.196969697,3.439582523,3.429278508,0.2623658471,43.99646038,275.1666019,5.207807118,1.138071066,3.079323464,2.979338513,0.6834878125,73.58455419,246.3458771,P7,6,no
7378,73,652.4,316.5,1163933.484,60291,52192,5.090909091,2.131487889,3.575253727,3.525345952,0.282036348,43.75027333,286.0202982,5.768398268,1.396317829,3.495914732,3.559516655,0.7090105821,67.6988109,279.6731786,P7,7,no
7111,92,691.3125,293.5,1333827.838,60818,55305,4.706222865,2.156351792,3.587777875,3.552688172,0.2020544697,38.47206123,287.02223,5.615635179,1.23326572,3.688705537,3.667293233,0.6777996049,69.83224007,295.0964429,P7,7,no
1330,64,491.6375,331,140186.9682,38029,39331,4.820118343,2.237394958,3.603038928,3.625492561,0.2663654666,41.67061567,288.2431142,5.576230492,1.462184874,3.478691948,3.551693548,0.691660866,68.55178825,278.2953559,P7,7,no
7339,111,751.0125,305.5,1553775.506,59914,60081,4.426778243,2.320261438,3.413064832,3.462930218,0.2055781421,42.90274956,273.0451865,5.563517915,1.468340611,3.56029441,3.520257453,0.7348097296,69.39124173,284.8235528,P7,7,no
7039,9,457.775,135.5,1196940.759,58104,36622,5.683333333,1.641025641,3.531718319,3.482142857,0.6420951828,71.81182698,282.5374655,5.862184874,1.16,3.518134664,3.542051282,1.268093129,108.0082486,281.4507731,P7,1,pat
6403,0,359.725,96,577605.7209,47016,28778,5.1,0,3.391277824,3.597851896,0.8516083025,73.10563533,271.3022259,5.915820029,0,3.454669497,3.514953928,1.456643061,105.9007103,276.3735598,P7,1,pat
6540,12,364.675,100.5,597147.9437,47504,29174,5.6,2.153481013,3.605380585,3.625629105,0.5497097161,66.9541366,288.4304468,5.849253731,1,3.657882159,3.712912088,1.27504138,106.3890283,292.6305727,P7,1,pat
7194,4,515.3375,117,1311079.518,61965,41227,5.153846154,1.216216216,3.608372044,3.620935246,0.6401040845,74.86443036,288.6697635,5.953287197,1.09352518,3.508465722,3.484964393,1.1647888,92.4622933,280.6772577,P7,1,pat
1078,17,347.7875,156.5,121125.6378,35570,27823,5.647058824,1.916155419,3.599327134,3.651928007,0.4448001269,59.75781863,287.9461707,5.657894737,1.175869121,3.38169305,3.356470588,0.9783135141,91.76455704,270.535444,P7,2,pat
1057,27,345.5625,163.5,114799.6669,35410,27645,4.769230769,1.492753623,3.530340566,3.627699915,0.4680563163,64.24596358,282.4272452,5.678873239,1.062692703,3.392028183,3.269771831,1.114277908,86.7268594,271.3622546,P7,2,pat
1123,27,357.2625,189.5,114717.0062,35356,28581,5.015625,2.074074074,3.517972656,3.466300618,0.4645248221,53.67726348,281.4378125,5.734666667,1.337006428,3.565557878,3.675531915,0.9802825361,91.7029982,285.2446303,P7,2,pat
1018,53,365.15,183,114006.5595,34888,29212,5.172413793,1.734177215,3.524072759,3.501837944,0.5024298051,64.4600686,281.9258207,5.494092374,1.133678756,3.583820239,3.572793834,1.003502816,91.62994465,286.7056191,P7,2,pat
1289,67,456.15,278,126669.8506,38016,36492,4.690095847,2.128404669,3.319760293,3.313860386,0.2717477216,40.08276399,265.5808235,5.55530474,1.331531532,3.57480983,3.547338044,0.7539672546,76.31530814,285.9847864,P7,3,pat
2091,48,451.6875,241.5,169394.0403,41526,36135,4.751552795,2.03875969,3.372526026,3.386852014,0.3365587353,49.07179043,269.802082,5.484429066,1.325831703,3.573270925,3.585480657,0.7047901891,73.15456263,285.861674,P7,3,pat
5695,23,535.25,255.5,573378.7975,50703,42820,4.614583333,1.886111111,3.431815575,3.481394418,0.310728206,47.02190479,274.545246,5.696745562,1.294444444,3.514220723,3.532653158,0.8431302987,87.00155266,281.1376578,P7,3,pat
1160,73,417.5875,228,123646.4986,36775,33407,4.442307692,1.378571429,3.399395706,3.46749198,0.3926246493,46.21793587,271.9516565,5.595070423,1.295687885,3.538796066,3.524420849,0.7759393651,81.14348241,283.1036852,P7,3,pat
7380,140,848.8625,529.5,1324342.93,63545,67909,4.896197328,2.482758621,3.61667208,3.615007832,0.1853742389,32.79100726,289.3337664,5.275104603,1.423400673,3.561706142,3.580176403,0.5277931726,59.07016797,284.9364914,P7,4,pat
7469,142,855.3,492.5,1427083.352,60011,68424,4.521461187,2.173469388,3.582206397,3.615805822,0.1527237175,34.33103237,286.5765117,5.279227053,1.623762376,3.429612793,3.432546873,0.5994809771,68.95980274,274.3690235,P7,4,pat
7253,135,710.6,428,800797.1038,45707,56848,4.580327869,2.307692308,3.58802606,3.620336556,0.1977497076,38.42086165,287.0420848,5.223155929,1.263954588,3.504514999,3.526804238,0.6248827134,68.98897905,280.3611999,P7,4,pat
7169,163,688.875,447,677051.4019,50819,55110,4.40585443,2.222368421,3.541791912,3.595904505,0.1797281656,30.74678502,283.3433529,5.503984064,1.385526316,3.489888487,3.463517548,0.5596413707,64.09974935,279.191079,P7,4,pat
