max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,maxY,minY,meanY,medianY,varY,totalvarY,aucY,XmaxY,XminY,XmeanY,XmedianY,XvarY,XtotalvarY,XaucY,YmaxY,YminY,YmeanY,YmedianY,YvarY,YtotalvarY,YaucY,filecount,gesture
125,16,54.2375,39,1108.816297,282,4339,3.888888889,2.821428571,3.240420526,3.207221861,0.06864473192,5.885872416,259.2336421,3.165289256,2.185185185,2.764031077,2.748239437,0.04261803932,6.369898586,221.1224862,4606,4595,4600.675,4600,7.082911392,96,368054,3.501305483,3.498371336,3.499934957,3.5,4.99E-07,0.03868990061,279.9947966,3.502066565,3.498260113,3.499978436,3.500054312,7.69E-07,0.03151934179,279.9982749,1,scratch
75,20,43.1875,39,234.0783228,216,3455,3.383333333,2.3,2.923944046,2.925925926,0.07765915935,8.302842668,233.9155237,3.628571429,2.25,3.010873572,3.124435848,0.1371698562,7.755289648,240.8698857,4606,4596,4600.9125,4601,6.688449367,77,368073,3.502174859,3.498803568,3.500574658,3.50065189,3.99E-07,0.0346738099,280.0459727,3.502606429,3.498476936,3.500517354,3.500597743,7.75E-07,0.03118689699,280.0413883,1,scratch
106,23,66.5875,64,501.6125,283,5327,4.130434783,2.826086957,3.339975201,3.280220884,0.09784369782,5.617377188,267.1980161,3.392857143,2.317460317,2.739255598,2.672316384,0.07996410228,5.064558494,219.1404479,4608,4592,4601.5125,4602,13.77199367,110,368121,3.501412123,3.497503799,3.499795201,3.499891281,8.18E-07,0.0367250729,279.9836161,3.500977623,3.496635555,3.498958565,3.499021952,1.11E-06,0.03410674945,279.9166852,1,scratch
71,11,34.3375,34,238.3530063,235,2747,3.714285714,2,2.977158521,3.010869565,0.1269115252,10.08322406,238.1726817,5.714285714,3.266666667,4.253368487,4.241186839,0.1630888759,9.629896623,340.269479,4603,4595,4599.75,4600,4.265822785,93,367980,3.504457491,3.500760704,3.502350855,3.502390265,8.89E-07,0.03208287286,280.1880684,3.504130435,3.497607656,3.501057071,3.50125039,2.15E-06,0.03663211727,280.0845657,3,scratch
71,0,28.7625,28.5,306.3606013,310,2301,5,0,2.255349383,2.20970696,0.4157007083,19.71217902,180.4279506,4.833333333,0,3.745953501,3.694208494,0.650652728,18.74413957,299.6762801,4611,4595,4600.9125,4601,10.86566456,90,368073,3.504344049,3.499891233,3.502125822,3.502067465,8.40E-07,0.04435964356,280.1700658,3.502284098,3.498696219,3.500637374,3.500760374,6.63E-07,0.04281906774,280.0509899,3,scratch
121,28,62.6375,60,480.2087025,368,5011,2.636363636,1.652173913,2.163385865,2.199551132,0.07340519656,6.958653049,173.0708692,3.844827586,2.685714286,3.316637373,3.339946071,0.07048089866,5.826496681,265.3309898,4604,4594,4599.4375,4599.5,6.654272152,102,367955,3.503154231,3.498695085,3.500781557,3.500597767,1.00E-06,0.0434844613,280.0625245,3.502284098,3.496304348,3.499338713,3.499728131,2.72E-06,0.04283819521,279.947097,3,scratch
123,13,58.1125,53.5,942.7846519,488,4649,2.674418605,1.421052632,2.151597694,2.147098516,0.1014595259,6.356009538,172.1278155,3.875,2.066666667,3.111601345,3.304864068,0.3047310894,6.881503399,248.9281076,4606,4593,4598.975,4599,7.493037975,105,367918,3.503043478,3.498913043,3.500907941,3.500869943,7.55E-07,0.03686138837,280.0726353,3.501413351,3.496520226,3.498880227,3.498914459,8.39E-07,0.03446766665,279.9104182,3,scratch
108,14,60.2375,60,629.9808544,389,4819,3.237113402,2,2.78902473,2.778401122,0.05166594564,6.514678928,223.1219784,4.222222222,2.789473684,3.408839068,3.423146474,0.06083732515,8.18322733,272.7071254,4608,4595,4600.95,4601,7.794936709,85,368076,3.503155604,3.498046027,3.50079097,3.5008153,7.64E-07,0.02989564301,280.0632776,3.501740644,3.499130435,3.500413158,3.500434594,4.78E-07,0.03467046026,280.0330527,4,scratch
202,73,141.625,141,1100.110759,413,11330,3.169354839,2.340101523,2.796248026,2.807886976,0.05214713765,3.730371058,223.6998421,3.419753086,2,2.670826757,2.71851815,0.1203880528,5.401535995,213.6661405,4615,4594,4601.225,4600,20.2778481,109,368098,3.503047453,3.49501301,3.499373893,3.49945664,3.27E-06,0.03616354026,279.9499115,3.503373232,3.492957746,3.49964344,3.5,5.69E-06,0.04877221044,279.9714752,4,scratch
125,16,70.9875,66,1053.607437,425,5679,4.0625,2.384615385,3.080476166,3.071858334,0.1277655141,7.060984548,246.4380933,3.482142857,1.722222222,2.69394462,2.721900826,0.2519370317,6.661565229,215.5155696,4609,4591,4599.6875,4600,18.87579114,85,367975,3.502176752,3.497608696,3.499841199,3.499836779,1.08E-06,0.03207159432,279.9872959,3.505987372,3.499457348,3.501858742,3.50173913,2.72E-06,0.03557049206,280.1486993,4,scratch
71,10,36.3625,35,284.1833861,265,2909,4,2.5,3.154426936,3.121323529,0.1759797772,7.761661718,252.3541549,3.155555556,1,2.06665976,2.160280971,0.3314838716,10.66645046,165.3327808,4611,4594,4601.8375,4601,16.97325949,93,368147,3.50163008,3.498261625,3.499729563,3.499565217,5.06E-07,0.02966578595,279.978365,3.502827316,3.497611811,3.500640566,3.501032669,2.02E-06,0.03532155311,280.0512453,4,scratch
74,5,31.7125,29,273.8276899,237,2537,3.235294118,2,2.532830729,2.531986532,0.08679293901,6.811847695,202.6264583,4.705882353,3.0625,3.766065055,3.707889126,0.1646517638,7.000071534,301.2852044,4608,4588,4598,4599,28.32911392,115,367840,3.504900893,3.498480243,3.501717115,3.50184863,2.89E-06,0.04101320991,280.1373692,3.502499457,3.497064579,3.500339629,3.500489214,9.03E-07,0.03752048479,280.0271703,5,scratch
